set names 3306  [2019-05-11 05:26:10]
DESC usuario  [2019-05-11 05:27:20]
select * from usuario  [2019-05-11 05:27:20]
DESC usuario  [2019-05-11 05:29:09]
select * from usuario  [2019-05-11 05:29:09]
DESC usuario  [2019-05-11 05:29:46]
select * from usuario  [2019-05-11 05:29:46]
DESC usuario  [2019-05-11 05:30:14]
select * from usuario  [2019-05-11 05:30:14]
DESC usuario  [2019-05-11 05:32:13]
select * from usuario  [2019-05-11 05:32:13]
DESC usuario  [2019-05-11 05:35:11]
select * from usuario  [2019-05-11 05:35:11]
DESC usuario  [2019-05-11 05:47:17]
select * from usuario  [2019-05-11 05:47:17]
